plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
05400943,Jägerallee,05,52.46343994961699,13.136646914578906,36,1,8,1,4,2
04200206,Kranzallee,04,52.50633372081848,13.232067983250897,14,1,2,0,0,0
10100209,Lea-Grundig-Straße,10,52.5487427579678,13.565265191957677,4,0,7,0,4,0
04300518,Kaiserin-Augusta-Allee,04,52.52757186825173,13.305496770505368,14,1,9,9,31,3
11200411,Hauptstraße,11,52.54658784754302,13.513155337102718,30,1,5,7,21,0
01300732,Soldiner Straße,01,52.55998078984623,13.390771497544828,6,0,8,9,4,2
07501030,Machonstraße,07,52.44618930082741,13.383450699326017,10,0,10,9,7,3
04400830,Forckenbeckstraße,04,52.47959197452658,13.296138936145605,8,0,9,0,11,0
01200521,Zwinglistraße,01,52.52566417436499,13.332314642198305,3,2,7,4,4,5
10200422,Hellersdorfer Promenade,10,52.54167731750821,13.608275239820776,8,0,2,2,4,1
10400938,Mahlsdorf Nord,10,52.52210877081398,13.63267472741989,31,0,6,3,7,0
08100209,Glasower Straße,08,52.46566369122579,13.440743368790702,15,0,13,11,16,3
03300412,Karow Bahnhof,03,52.613125389941835,13.473143446277199,13,0,4,2,6,2
03501038,Hansastraße,03,52.5559760946172,13.480613233531523,28,1,4,4,3,1
01100207,Leipziger Straße,01,52.51237359919126,13.40020013702261,26,7,11,12,121,7
08100415,Ganghoferstraße,08,52.47874505956614,13.442631253890596,8,2,10,9,12,2
03200308,Nisbléstraße,03,52.60133522815264,13.423789422694659,26,0,7,1,4,0
01401049,Schulstraße,01,52.55342243232087,13.365667720065932,10,2,9,7,10,2
04400727,Flinsberger Platz,04,52.48551363651928,13.28952312478398,15,0,6,4,10,0
10100315,Bärenstein,10,52.53974259151825,13.56555411175524,10,0,2,2,4,0
01100104,Körnerstraße,01,52.50190563966415,13.367736926674361,6,2,2,5,20,1
04200308,Branitzer Platz,04,52.52348905450456,13.267751160312041,22,0,8,5,13,1
12400723,Hermsdorf Ost/Waldsee,12,52.61999940678287,13.318637762819419,31,0,12,4,4,2
06100210,Bismarckstraße,06,52.461880380165724,13.340994302035986,11,1,7,1,4,0
06400838,Krumme Lanke,06,52.44750460833217,13.236366507227947,19,1,6,2,9,1
07601442,Kettinger Straße,07,52.4049944198556,13.399025358713674,15,0,12,4,9,1
03601348,Senefelderstraße,03,52.54209803674277,13.422391874625836,2,0,18,14,10,2
08100104,Wartheplatz,08,52.47001012633628,13.423435437936899,4,1,5,9,5,0
03601450,Volkspark Prenzlauer Berg,03,52.53548250181786,13.461234589414936,10,0,5,4,26,1
08401242,Zittauer Straße,08,52.41467694873002,13.480602719603874,19,0,6,2,4,1
09100407,Johannisthal West,09,52.447473437145156,13.495870166046698,39,0,11,1,2,0
10100101,Marzahn West,10,52.56768833108399,13.556437427304466,5,0,4,0,6,1
03300411,Karow Nord,03,52.617588226271955,13.490314636692004,18,0,16,1,7,1
01401045,Schwedenstraße,01,52.55454760450988,13.377599240421908,17,1,12,8,6,1
07400720,Gontermannstraße,07,52.47730792905811,13.376543534753438,22,1,10,5,10,4
05200631,Wilhelmstadt Ost,05,52.520986964882276,13.199907128157676,10,0,8,9,9,1
04100102,Paul-Hertz-Siedlung,04,52.535571534271426,13.298030776157763,8,0,3,1,3,0
12500926,Wittenau Süd,12,52.59183748838282,13.33283571612451,18,0,5,5,13,1
10200417,Zossener Straße,10,52.54689069920231,13.591379175523114,9,0,7,5,1,0
03400722,Parkstraße,03,52.574852021028995,13.403847111899513,0,0,12,1,7,0
11300721,Herzbergstraße,11,52.52575117462147,13.504825524515264,29,4,7,7,27,3
11200514,Landsberger Allee,11,52.53637202556812,13.489805162089773,13,0,9,6,14,2
01400942,Westliche Müllerstraße,01,52.54697187618256,13.351756901434412,22,15,8,12,22,5
05200525,Pillnitzer Weg,05,52.52358490180839,13.14594408518132,6,0,4,0,2,0
08401140,Vogelviertel Nord,08,52.439204669576114,13.466842722413606,0,0,2,1,1,0
09501941,Friedrichshagener Straße,09,52.44971892316165,13.584297864305686,13,0,8,1,5,0
07601546,Franziusweg,07,52.38996271786046,13.387902132474782,16,0,1,1,6,0
02300316,Köpenicker Straße,02,52.50363819446854,13.434748682848399,15,0,9,12,20,3
10300734,Biesdorf Süd,10,52.494517496633094,13.563912279626244,27,0,8,1,11,0
07100206,Großgörschenstraße,07,52.49123469998438,13.368406413742443,8,2,12,11,15,2
01200518,Beusselkiez,01,52.52872064483206,13.327753518947917,3,0,5,3,7,4
12200414,TXL,12,52.55950710111066,13.27232605550277,10,0,1,1,5,1
04400831,Messelpark,04,52.473746686541205,13.283908405521412,6,0,2,0,4,0
06300526,Zehlendorf Mitte,06,52.43232343940679,13.255389150581973,25,0,19,5,31,7
09200819,Köllnische Vorstadt,09,52.43890308601431,13.566530397958386,31,0,12,6,19,2
04501150,Wilhelmsaue,04,52.48476488639793,13.326677392112975,10,0,8,4,6,1
06100206,Stadtpark,06,52.44736227175533,13.335729217002775,11,1,7,1,6,2
08100311,Reuterplatz,08,52.488884176042454,13.42812856574873,6,0,14,40,5,7
10100210,Marzahner Promenade,10,52.54510447979663,13.552638245039065,30,0,7,7,6,6
09501736,Hirschgarten,09,52.45311193208745,13.614160434245868,20,0,3,0,3,0
